Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,,,
TR,Istanbul,M4,M4 Phase 3,2015,2022,0,7.5,100.00%,7.5,0,0,4,180,Plan,170,EUR,2018,3,510,68.0,1.275269108,650.4,86.7,Plan,https://www.metro.istanbul/Hatlarimiz/ProjeHalindekiHatlar?projeInsaat=0&q=36,,,,
CA,Vancouver,Millennium,Broadway,2020,2025,0,5.7,87.72%,5,0.295,0.446,6,,Plan,"2,830",CAD,2018,0.84,2377.2,417.1,1.275269108,"3,031.6",531.9,Media,https://www.translink.ca/Plans-and-Projects/Rapid-Transit-Projects/Broadway-Subway-Project.aspx,,,,
CA,Toronto,YUS,Vaughan,2009,2017,0,8.6,100.00%,8.6,0,0,6,,Media,"3,200",CAD,2013,0.81,2592,301.4,1.374627077,"3,563.0",414.3,Media,https://www.thestar.com/news/gta/transportation/2017/12/15/trudeau-wynne-tory-on-hand-to-cut-ribbon-on-32-billion-subway-extension.html,,,,
CA,Toronto,Scarborough,Scarborough,2020,2030,0,7.8,100.00%,7.8,0,0,3,,Wiki,"5,500",CAD,2018,0.84,4620,592.3,1.275269108,"5,891.7",755.4,Media,https://urbantoronto.ca/news/2020/03/metrolinxs-preliminary-business-case-scarborough-subway-extension-raises-questions,,,,
CA,Toronto,Ontario,Ontario,2022,2031,0,15.5,57.00%,8.8,5.76,1.06,15,,Plan,"27,200",CAD,2023,0.84,22848,1474.1,1.050957985,"24,012.3","1,549.2",Plan,https://globalnews.ca/news/10579363/ontario-line-cost-increase/,,,,
CA,Toronto,YUS,Yonge to Richmond Hill,2020,2030,0,7.4,100.00%,7.4,0,0,6,,Plan,"5,600",CAD,2020,0.84,4704,635.7,1.237308306,"5,820.3",786.5,Media,https://www.thestar.com/news/gta/2020/06/24/metrolinx-considering-a-route-for-the-yonge-subway-extension-to-richmond-hill-that-would-take-it-above-ground.html,,,,
NL,Amsterdam,Amsterdam North South,Amsterdam North South,2003,2018,0,9.7,73.00%,7.1,0,0,8,,Wiki,"3,100",EUR,2009,1.3,4030,415.5,1.492651617,"6,015.4",620.1,Media,https://www.at5.nl/artikelen/184604/zaterdag-noordzuidlijn-eindelijk-open-de-opvallendste-feiten,,,,
CA,Montreal,Blue Line,,2020,2026,0,5.8,100.00%,5.8,0,0,5,,Media,"4,500",CAD,2018,0.84,3780,651.7,1.275269108,"4,820.5",831.1,Media,https://montrealgazette.com/news/local-news/montreal-metro-green-light-for-blue-line-extension,,,,
US,Seattle,U-Link,U-Link,2009,2016,0,5.1,100.00%,5.1,0,0,2,,Media,"1,756",USD,2012,1,1756,344.3,1.394762058,"2,449.2",480.2,Plan,https://www.soundtransit.org/sites/default/files/documents/2018-q3-link-light-rail_0.pdf,,,,
US,Los Angeles,Purple Line,Purple Phase 3,2020,2027,0,4.2,100.00%,4.2,0,0,2,,Media,"3,600",USD,2023,1,3600,857.1,1.050957985,"3,783.4",900.8,Media,https://la.streetsblog.org/2020/03/24/metro-signs-1-3-billion-full-funding-grant-agreement-for-westside-subway-phase-3/,,,,
